age,ast,blk,date_game,drb,fg,fg3,fg3a,fg_pct,fga,ft,ft_pct,fta,game_location,game_result,game_score,gs,mp,opp_id,orb,pf,pts,stl,team_id,tov,trb
28-293,3,1,2010-11-06,7,10,2,3,.588,17,7,.700,10,,W (+12),25.1,1,35:39,NJN,3,2,29,2,MIA,3,10
28-296,1,0,2010-11-09,5,12,3,5,.522,23,12,.750,16,,L (-2),26.8,1,41:53,UTA,1,3,39,1,MIA,2,6
28-298,3,1,2010-11-11,1,2,0,5,.167,12,4,.667,6,,L (-5),-4.9,1,40:09,BOS,0,4,8,0,MIA,6,1
28-300,2,1,2010-11-13,6,11,0,1,.688,16,9,.643,14,,W (+9),25.7,1,35:14,TOR,2,2,31,0,MIA,1,8
28-304,6,2,2010-11-17,5,6,0,1,.545,11,5,.833,6,,W (+27),16.3,1,30:49,PHO,1,2,17,0,MIA,2,6
28-306,4,0,2010-11-19,3,4,0,4,.308,13,3,.500,6,,W (+8),4.8,1,36:09,CHA,0,3,11,2,MIA,2,3
28-309,5,2,2010-11-22,4,1,0,4,.077,13,1,.200,5,,L (-16),-5.4,1,37:32,IND,0,3,3,2,MIA,5,4
28-311,5,1,2010-11-24,5,6,1,4,.286,21,5,.714,7,@,L (-9),10.2,1,40:00,ORL,2,2,18,0,MIA,1,7
28-313,8,0,2010-11-26,3,7,0,1,.438,16,9,.750,12,,W (+9),20.2,1,36:27,PHI,3,2,23,2,MIA,3,6
28-314,5,2,2010-11-27,8,8,0,1,.500,16,6,.545,11,@,L (-11),11.8,1,41:06,DAL,1,3,22,0,MIA,7,9
28-316,6,1,2010-11-29,8,8,0,1,.471,17,10,1.000,10,,W (+11),26.2,1,34:44,WAS,0,1,26,4,MIA,2,8
28-318,1,0,2010-12-01,2,7,0,0,.778,9,2,.400,5,,W (+25),10.0,1,18:29,DET,0,4,16,2,MIA,3,2
28-319,9,0,2010-12-02,6,10,0,1,.625,16,2,.667,3,@,W (+28),23.0,1,32:34,CLE,3,4,22,3,MIA,3,9
28-321,3,3,2010-12-04,8,11,0,1,.611,18,4,.667,6,,W (+12),23.2,1,39:46,ATL,2,2,26,3,MIA,4,10
28-323,5,1,2010-12-06,9,9,0,0,.450,20,7,.700,10,@,W (+10),16.6,1,39:03,MIL,5,3,25,0,MIA,6,14
28-325,4,0,2010-12-08,2,9,2,3,.643,14,8,.727,11,@,W (+13),23.4,1,40:54,UTA,2,0,28,2,MIA,4,4
28-327,7,0,2010-12-10,6,12,0,1,.600,20,10,.769,13,@,W (+22),28.2,1,34:30,GSW,3,3,34,1,MIA,4,9
28-328,6,1,2010-12-11,3,15,1,2,.652,23,5,.556,9,@,W (+21),29.4,1,35:37,SAC,3,2,36,1,MIA,3,6
28-330,1,0,2010-12-13,4,8,2,3,.615,13,14,.824,17,,W (+12),26.7,1,38:35,NOH,1,2,32,1,MIA,1,5
28-332,3,0,2010-12-15,4,10,3,6,.556,18,5,.714,7,,W (+6),21.7,1,39:41,CLE,2,4,28,1,MIA,1,6
28-334,5,3,2010-12-17,5,9,2,3,.409,22,6,.750,8,@,W (+22),22.6,1,37:55,NYK,3,0,26,2,MIA,2,8
28-335,2,2,2010-12-18,5,7,2,5,.368,19,4,.667,6,@,W (+1),9.7,1,39:54,WAS,1,5,20,1,MIA,3,6
28-337,7,2,2010-12-20,3,8,3,7,.471,17,3,.500,6,,L (-2),21.6,1,39:05,DAL,1,1,22,3,MIA,1,4
28-342,6,1,2010-12-25,5,6,0,1,.353,17,6,1.000,6,@,W (+16),11.7,1,36:08,LAL,0,3,18,1,MIA,3,5
28-345,2,1,2010-12-28,7,13,1,7,.464,28,13,.813,16,,W (+8),31.2,1,38:15,NYK,2,2,40,2,MIA,0,9
28-346,1,0,2010-12-29,7,17,1,3,.708,24,10,1.000,10,@,W (+6),32.6,1,38:05,HOU,0,3,45,2,MIA,6,7
28-349,8,1,2011-01-01,6,7,0,2,.389,18,11,.688,16,,W (+7),23.3,1,39:26,GSW,0,0,25,2,MIA,0,6
28-351,4,1,2011-01-03,7,12,1,4,.600,20,6,1.000,6,@,W (+14),24.6,1,30:34,CHA,4,4,31,0,MIA,4,11
28-352,2,0,2011-01-04,3,10,1,2,.526,19,13,.867,15,,W (+12),24.7,1,35:16,MIL,1,3,34,1,MIA,2,4
28-355,5,0,2011-01-07,3,4,0,1,.211,19,6,.857,7,@,W (+6),9.5,1,43:57,MIL,4,4,14,3,MIA,1,7
28-357,5,1,2011-01-09,6,15,1,3,.682,22,3,.750,4,@,W (+7),28.4,1,41:58,POR,2,3,34,0,MIA,2,8
28-360,5,3,2011-01-12,6,12,1,4,.545,22,6,.857,7,@,L (-6),27.3,1,40:57,LAC,1,2,31,1,MIA,1,7
28-361,4,1,2011-01-13,2,7,0,3,.368,19,2,.286,7,@,L (-28),5.6,1,31:09,DEN,2,1,16,0,MIA,3,4
28-363,4,5,2011-01-15,3,10,4,7,.500,20,9,.692,13,@,L (-3),26.1,1,35:19,CHI,3,4,33,0,MIA,3,6
29-001,3,1,2011-01-18,6,8,0,4,.400,20,11,.917,12,,L (-4),13.8,1,45:38,ATL,0,4,27,1,MIA,6,6
29-010,5,0,2011-01-27,13,14,0,2,.636,22,6,.429,14,@,L (-5),24.3,1,40:33,NYK,3,3,34,1,MIA,6,16
29-013,2,0,2011-01-30,5,13,0,0,.591,22,6,.750,8,@,W (+5),18.1,1,41:08,OKC,4,4,32,2,MIA,9,9
29-014,5,0,2011-01-31,5,13,1,1,.619,21,7,.875,8,,W (+27),27.9,1,33:37,CLE,2,4,34,3,MIA,4,7
29-017,1,2,2011-02-03,4,5,0,1,.417,12,4,.500,8,@,W (+4),8.5,1,34:31,ORL,0,2,14,1,MIA,1,4
